# Time-averaged data for fix 3
# TimeStep c_myRg
76100 6.73471
76200 6.73474
76300 6.73478
76400 6.73479
76500 6.73479
76600 6.73485
76700 6.7349
76800 6.73493
76900 6.73493
77000 6.73493
77100 6.7349
77200 6.73487
77300 6.73483
77400 6.73481
77500 6.73479
77600 6.73479
77700 6.7348
77800 6.73481
77900 6.73481
78000 6.73482
78100 6.73484
78200 6.73485
78300 6.73486
78400 6.73489
78500 6.73492
78600 6.73492
78700 6.73492
78800 6.73492
78900 6.73491
79000 6.7349
79100 6.73489
79200 6.73488
79300 6.73487
79400 6.73483
79500 6.73481
79600 6.73482
79700 6.73485
79800 6.73489
79900 6.73495
80000 6.735
80100 6.73504
80200 6.73511
80300 6.73518
80400 6.73524
80500 6.73531
80600 6.7354
80700 6.73547
80800 6.73553
80900 6.73561
81000 6.7357
81100 6.73577
81200 6.73588
81300 6.736
81400 6.73613
81500 6.73626
81600 6.73638
81700 6.73651
81800 6.73665
81900 6.7368
82000 6.73694
82100 6.73706
82200 6.73715
82300 6.73723
82400 6.73728
82500 6.73733
82600 6.73737
82700 6.73739
82800 6.73743
82900 6.73746
83000 6.73752
83100 6.7376
83200 6.73768
83300 6.73775
83400 6.73781
83500 6.7379
83600 6.73797
83700 6.73806
83800 6.73817
83900 6.73827
84000 6.73837
84100 6.73847
84200 6.73854
84300 6.73863
84400 6.73874
84500 6.73885
84600 6.73895
84700 6.73906
84800 6.73919
84900 6.73932
85000 6.73943
85100 6.73954
85200 6.73965
85300 6.73973
85400 6.73981
85500 6.7399
85600 6.73997
85700 6.74005
85800 6.74013
85900 6.74019
86000 6.74027
86100 6.74033
86200 6.74038
86300 6.74045
86400 6.74055
86500 6.74064
86600 6.74073
86700 6.74079
86800 6.74085
86900 6.74087
87000 6.74089
87100 6.74089
87200 6.74088
87300 6.74085
87400 6.74083
87500 6.74077
87600 6.74073
87700 6.74068
87800 6.74064
87900 6.74061
88000 6.7406
88100 6.74058
88200 6.74056
88300 6.74053
88400 6.74048
88500 6.74041
88600 6.74035
88700 6.74026
88800 6.74017
88900 6.74009
89000 6.74
89100 6.73993
89200 6.73985
89300 6.73976
89400 6.73967
89500 6.73955
89600 6.73944
89700 6.7393
89800 6.73914
89900 6.73899
90000 6.73879
90100 6.73859
90200 6.73838
90300 6.73819
90400 6.738
90500 6.73782
90600 6.73765
90700 6.73748
90800 6.73729
90900 6.73709
91000 6.7369
91100 6.73673
91200 6.73661
91300 6.73649
91400 6.73636
91500 6.73622
91600 6.73608
91700 6.73598
91800 6.73584
91900 6.73574
92000 6.73564
92100 6.73551
92200 6.73537
92300 6.73524
92400 6.73512
92500 6.73498
92600 6.73487
92700 6.73478
92800 6.73469
92900 6.73459
93000 6.73451
93100 6.73445
93200 6.7344
93300 6.73437
93400 6.7344
93500 6.73445
93600 6.7345
93700 6.73456
93800 6.73463
93900 6.73472
94000 6.73481
94100 6.73492
94200 6.73503
94300 6.73512
94400 6.73519
94500 6.73525
94600 6.73534
94700 6.73545
94800 6.7356
94900 6.73575
95000 6.73588
95100 6.73602
95200 6.73616
95300 6.73629
95400 6.73643
95500 6.73653
95600 6.7366
95700 6.73666
95800 6.73671
95900 6.73675
96000 6.73678
96100 6.73681
96200 6.73683
96300 6.73684
96400 6.73687
96500 6.73689
96600 6.73692
96700 6.73696
96800 6.73702
96900 6.7371
97000 6.73717
97100 6.73724
97200 6.73731
97300 6.73739
97400 6.73747
97500 6.73752
97600 6.73757
97700 6.73762
97800 6.73765
97900 6.73765
98000 6.73763
98100 6.7376
98200 6.73755
98300 6.73752
98400 6.7375
98500 6.73752
98600 6.73752
98700 6.73749
98800 6.73746
98900 6.73744
99000 6.7374
99100 6.73737
99200 6.73735
99300 6.73733
99400 6.73729
99500 6.73725
99600 6.73722
99700 6.73721
99800 6.73722
99900 6.73723
100000 6.73725
100100 6.73729
100200 6.7373
100300 6.73732
100400 6.73736
100500 6.7374
100600 6.73741
100700 6.73738
100800 6.73734
100900 6.73728
101000 6.73723
101100 6.73713
101200 6.73704
101300 6.73695
101400 6.73686
101500 6.73674
101600 6.73663
101700 6.73653
101800 6.73645
101900 6.73637
102000 6.73629
102100 6.73621
102200 6.73613
102300 6.73603
102400 6.73596
102500 6.73589
102600 6.73583
102700 6.73577
102800 6.73574
102900 6.73569
103000 6.73564
103100 6.73558
103200 6.73551
103300 6.73543
103400 6.73537
103500 6.73531
103600 6.73525
103700 6.73523
103800 6.73523
103900 6.73523
104000 6.73523
104100 6.73525
104200 6.7353
104300 6.73537
104400 6.73546
104500 6.73557
104600 6.7357
104700 6.73585
104800 6.736
104900 6.73615
105000 6.73628
105100 6.73642
105200 6.73658
105300 6.73677
105400 6.73697
105500 6.73718
105600 6.73739
105700 6.73761
105800 6.73783
105900 6.73803
106000 6.73821
106100 6.73837
106200 6.73852
106300 6.73868
106400 6.73888
106500 6.73908
106600 6.73925
106700 6.73944
106800 6.73963
106900 6.73979
107000 6.73998
107100 6.74016
107200 6.74034
107300 6.74049
107400 6.74063
107500 6.74076
107600 6.74088
107700 6.74102
107800 6.74113
107900 6.74122
108000 6.7413
108100 6.7414
108200 6.74149
108300 6.74158
108400 6.74167
108500 6.74176
108600 6.74184
108700 6.7419
108800 6.74194
108900 6.74197
109000 6.742
109100 6.74202
109200 6.74202
109300 6.74202
109400 6.74203
109500 6.74205
109600 6.74206
109700 6.74207
109800 6.7421
109900 6.74211
110000 6.74212
110100 6.74212
110200 6.74212
110300 6.74209
110400 6.74205
110500 6.74203
110600 6.74205
110700 6.74206
110800 6.74208
110900 6.74211
111000 6.74212
111100 6.74213
111200 6.74218
111300 6.74223
111400 6.7423
111500 6.74235
111600 6.74244
111700 6.7425
111800 6.7425
111900 6.74247
112000 6.74247
112100 6.74249
112200 6.74253
112300 6.74258
112400 6.74266
112500 6.74275
112600 6.74287
112700 6.743
112800 6.74312
112900 6.74326
113000 6.74339
113100 6.74349
113200 6.74355
113300 6.74362
113400 6.7437
113500 6.74379
113600 6.74388
113700 6.74397
113800 6.74408
113900 6.74418
114000 6.74428
114100 6.74436
114200 6.74442
114300 6.74445
114400 6.7445
114500 6.74457
114600 6.74465
114700 6.74472
114800 6.74478
114900 6.74485
115000 6.7449
115100 6.74494
115200 6.74496
115300 6.74499
115400 6.74501
115500 6.74507
115600 6.74513
115700 6.74519
115800 6.74526
115900 6.74533
116000 6.74539
116100 6.74546
116200 6.74555
116300 6.74563
116400 6.7457
116500 6.74575
116600 6.74579
116700 6.74584
116800 6.74587
116900 6.7459
117000 6.7459
117100 6.7459
117200 6.7459
117300 6.74593
117400 6.74594
117500 6.74595
117600 6.74596
117700 6.74598
117800 6.74597
117900 6.74591
118000 6.74585
118100 6.74578
118200 6.7457
118300 6.74562
118400 6.74553
118500 6.74543
118600 6.74534
118700 6.74525
118800 6.74515
118900 6.74506
119000 6.74498
119100 6.7449
119200 6.74483
119300 6.74477
119400 6.74474
119500 6.74473
119600 6.74468
119700 6.74464
119800 6.74461
119900 6.7446
120000 6.74461
120100 6.74462
120200 6.74466
120300 6.74469
120400 6.74474
120500 6.74481
120600 6.74491
120700 6.745
120800 6.74509
120900 6.74518
121000 6.74523
121100 6.74526
121200 6.74527
121300 6.74528
121400 6.74527
121500 6.74527
121600 6.74532
121700 6.74536
121800 6.74539
121900 6.7454
122000 6.74542
122100 6.74543
122200 6.74543
122300 6.74539
122400 6.74535
122500 6.74534
122600 6.74535
122700 6.74537
122800 6.74539
122900 6.74539
123000 6.74537
123100 6.74536
123200 6.74536
123300 6.74536
123400 6.74536
123500 6.74539
123600 6.7454
123700 6.7454
123800 6.74542
123900 6.74543
124000 6.74544
124100 6.74544
124200 6.74544
124300 6.74542
124400 6.74539
124500 6.74536
124600 6.74533
124700 6.74527
124800 6.74521
124900 6.74517
125000 6.74515
125100 6.74516
125200 6.74514
125300 6.7451
125400 6.74508
125500 6.74509
125600 6.74506
125700 6.74502
125800 6.74498
125900 6.74496
126000 6.74492
126100 6.74488
126200 6.74486
126300 6.74483
126400 6.74479
126500 6.74478
126600 6.7448
126700 6.74485
126800 6.74492
126900 6.74501
127000 6.74512
127100 6.74522
127200 6.74535
127300 6.74545
127400 6.74555
127500 6.74564
127600 6.74577
127700 6.74592
127800 6.74611
127900 6.7463
128000 6.74646
128100 6.74661
128200 6.74677
128300 6.74691
128400 6.74707
128500 6.74722
128600 6.74734
128700 6.74746
128800 6.74755
128900 6.74766
129000 6.74778
129100 6.74788
129200 6.74794
129300 6.748
129400 6.74806
129500 6.74809
129600 6.74813
129700 6.74815
129800 6.74815
129900 6.74816
130000 6.7482
130100 6.74825
130200 6.74829
130300 6.74835
130400 6.74841
130500 6.74843
130600 6.74844
130700 6.74847
130800 6.74853
130900 6.7486
131000 6.74865
131100 6.74868
131200 6.74869
131300 6.74873
131400 6.7488
131500 6.74891
131600 6.74904
131700 6.74917
131800 6.74929
131900 6.74942
132000 6.74954
132100 6.74965
132200 6.74974
132300 6.74984
132400 6.74992
132500 6.75
132600 6.75007
132700 6.75015
132800 6.75023
132900 6.75032
133000 6.7504
133100 6.7505
133200 6.75059
133300 6.75069
133400 6.75079
133500 6.75087
133600 6.75097
133700 6.7511
133800 6.75124
133900 6.7514
134000 6.75154
134100 6.75167
134200 6.75179
134300 6.7519
134400 6.75203
134500 6.75216
134600 6.75229
134700 6.75243
134800 6.75259
134900 6.75275
135000 6.75294
135100 6.75312
135200 6.75331
135300 6.75352
135400 6.75372
135500 6.75392
135600 6.75413
135700 6.75434
135800 6.75455
135900 6.75475
136000 6.75497
136100 6.75521
136200 6.75544
136300 6.75567
136400 6.75591
136500 6.75612
136600 6.75632
136700 6.75652
136800 6.75672
136900 6.75695
137000 6.75718
137100 6.7574
137200 6.75762
137300 6.75783
137400 6.75805
137500 6.75827
137600 6.75852
137700 6.75878
137800 6.75905
137900 6.75932
138000 6.75962
138100 6.75992
138200 6.76023
138300 6.76055
138400 6.76086
138500 6.76117
138600 6.76146
138700 6.76175
138800 6.76204
138900 6.76231
139000 6.7626
139100 6.76287
139200 6.76316
139300 6.76346
139400 6.76375
139500 6.76405
139600 6.76433
139700 6.76466
139800 6.76501
139900 6.76535
140000 6.7657
140100 6.76603
140200 6.76635
140300 6.76665
140400 6.76692
140500 6.76719
140600 6.76748
140700 6.76777
140800 6.76803
140900 6.76828
141000 6.76856
141100 6.76885
141200 6.76914
141300 6.76943
141400 6.76971
141500 6.77
141600 6.77029
141700 6.77059
141800 6.7709
141900 6.77122
142000 6.77154
142100 6.77189
142200 6.77221
142300 6.77253
142400 6.77286
142500 6.77317
142600 6.77346
142700 6.77375
142800 6.77407
142900 6.77438
143000 6.77469
143100 6.77501
143200 6.77533
143300 6.77564
143400 6.77592
143500 6.7762
143600 6.77649
143700 6.77677
143800 6.77705
143900 6.77731
144000 6.77755
144100 6.77777
144200 6.77798
144300 6.77819
144400 6.77843
144500 6.77867
144600 6.77892
144700 6.77917
144800 6.77939
144900 6.77961
145000 6.77985
145100 6.78008
145200 6.78032
145300 6.78059
145400 6.78086
145500 6.78111
145600 6.78138
145700 6.78166
145800 6.78193
145900 6.78223
146000 6.78254
146100 6.78286
146200 6.78312
146300 6.78335
146400 6.78358
146500 6.78381
146600 6.78403
146700 6.78427
146800 6.78453
146900 6.78479
147000 6.78503
147100 6.78528
147200 6.78554
147300 6.7858
147400 6.78606
147500 6.78633
147600 6.7866
147700 6.78685
147800 6.7871
147900 6.78734
148000 6.78758
148100 6.7878
148200 6.78799
148300 6.78814
148400 6.78828
148500 6.78844
148600 6.78855
148700 6.78866
148800 6.7888
148900 6.78893
149000 6.78906
149100 6.78919
149200 6.78933
149300 6.78947
149400 6.78965
149500 6.78985
149600 6.79007
149700 6.7903
149800 6.79055
149900 6.79081
150000 6.79109
150100 6.79136
150200 6.79164
150300 6.79192
150400 6.79217
150500 6.79238
150600 6.79261
150700 6.79284
150800 6.79308
150900 6.79332
151000 6.79353
151100 6.79374
151200 6.79397
151300 6.7942
151400 6.79443
151500 6.79467
151600 6.79491
151700 6.79514
151800 6.79537
151900 6.7956
152000 6.79585
152100 6.79609
152200 6.79635
152300 6.79657
152400 6.79678
152500 6.79699
152600 6.7972
152700 6.79737
152800 6.79753
152900 6.79769
153000 6.79782
153100 6.79793
153200 6.79808
153300 6.79821
153400 6.79834
153500 6.79848
153600 6.79862
153700 6.79877
153800 6.79894
153900 6.79913
154000 6.79933
154100 6.79949
154200 6.79963
154300 6.79977
154400 6.79992
154500 6.80007
154600 6.80024
154700 6.80044
154800 6.80064
